file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\plugins\ResolverUtil.java,org.apache.logging.log4j.core.config.plugins.ResolverUtil$NameEndsWith,innerclass,1,1,0,1,4,2,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,1,0,0,1,0,1,1,1,0,0,0,0,29,9,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\LoggerContext.java,org.apache.logging.log4j.core.LoggerContext,class,8,13,5,8,11,1,0,14,0,0.5714286,0.33333334,0.33333334,7,0,7,0,0,0,7,0,0,2,3,1,0,3,0,0,0,0,2,44,4,1,3,0,0,2,0,9,0,8,1,0,0,0,19,1,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\Timer.java,org.apache.logging.log4j.core.Timer,class,1,4,3,1,33,1,0,6,0,0.673077,0.67948717,0.84615386,13,0,13,0,0,0,13,0,0,0,8,3,0,8,0,0,0,0,4,127,13,0,9,0,8,30,25,53,34,17,3,0,0,0,78,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\Level.java,org.apache.logging.log4j.Level,enum,1,25,24,1,14,1,0,2,0,0.25,0.47619048,0.47619048,8,2,7,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,2,30,8,0,2,0,5,0,7,2,0,2,1,0,0,0,87,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\appender\DefaultErrorHandler.java,org.apache.logging.log4j.core.appender.DefaultErrorHandler,class,6,7,1,6,14,1,0,5,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,6,3,0,6,0,0,2,0,4,38,0,0,2,0,0,0,3,11,3,9,1,0,0,0,44,1,3
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\internal\StatusListener.java,org.apache.logging.log4j.internal.StatusListener,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\LineLocationPatternConverter.java,org.apache.logging.log4j.core.layout.pattern.LineLocationPatternConverter,class,5,6,1,5,4,3,0,3,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,15,1,0,1,0,0,6,0,2,0,2,1,0,0,0,41,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\LogEvent.java,org.apache.logging.log4j.core.LogEvent,interface,2,35,33,2,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\Configuration.java,org.apache.logging.log4j.core.config.Configuration,interface,3,13,10,3,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\NDC.java,org.apache.logging.log4j.NDC,class,4,6,2,4,35,1,0,26,58,0.84615386,0.06666667,0.06666667,13,12,10,3,0,0,10,0,0,0,4,4,0,1,0,3,1,0,14,144,14,2,12,0,4,3,9,26,0,23,2,0,1,0,307,1,1
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\Node.java,org.apache.logging.log4j.core.config.Node,class,3,18,15,3,14,1,0,1,50,0.84375006,0.121212125,0.1969697,12,0,12,0,0,0,12,0,0,0,8,0,0,8,0,0,0,0,0,49,8,0,1,0,0,0,1,9,0,8,0,0,0,0,41,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\NamePatternConverter.java,org.apache.logging.log4j.core.layout.pattern.NamePatternConverter,class,2,4,2,2,4,3,2,3,0,0.0,1.0,1.0,2,0,0,0,2,0,2,0,1,0,1,0,0,1,0,0,1,0,2,15,0,0,1,0,2,0,2,2,0,1,1,0,0,0,44,1025,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\layout\pattern\PatternParserTest.java,org.apache.logging.log4j.core.layout.pattern.PatternParserTest,class,8,9,1,8,4,1,0,10,1,0.8888889,1.0,1.0,3,0,2,1,0,0,2,0,0,0,12,4,0,8,0,4,1,0,1,28,0,0,1,0,0,15,3,14,1,14,0,0,0,0,51,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\ConfigurationFactory.java,org.apache.logging.log4j.core.config.ConfigurationFactory,class,9,16,7,9,14,2,4,18,7,0.6666667,0.16666667,0.16666667,6,5,4,2,0,0,4,1,0,0,3,3,1,2,0,0,1,0,6,89,1,2,2,3,0,5,1,11,3,11,3,0,2,0,107,1025,3
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\plugins\ResolverUtil.java,org.apache.logging.log4j.core.config.plugins.ResolverUtil$AnnotatedWith,innerclass,1,1,0,1,4,2,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,1,0,0,1,0,1,1,1,0,0,0,0,34,9,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\AppenderControl.java,org.apache.logging.log4j.core.config.AppenderControl,class,7,8,1,7,11,1,0,10,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,1,0,0,42,2,1,3,1,0,3,0,5,3,3,2,0,0,0,26,1,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\SimplePerfTest.java,org.apache.logging.log4j.core.SimplePerfTest,class,6,7,1,6,4,1,0,8,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,2,0,3,0,0,1,0,1,23,0,2,0,0,0,3,3,7,0,7,1,0,0,0,21,1,1
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\PatternParser.java,org.apache.logging.log4j.core.layout.pattern.PatternParser,class,10,13,3,10,56,1,0,49,18,0.8194444,0.33333334,0.5,8,2,4,4,0,0,4,0,0,0,9,7,0,8,1,0,8,0,17,264,10,7,16,3,23,17,27,72,19,40,5,0,0,0,179,17,6
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\ThreadedPerfTest.java,org.apache.logging.log4j.core.ThreadedPerfTest,class,8,9,1,8,4,1,0,9,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,3,0,4,0,0,2,0,3,44,0,2,0,0,0,2,4,12,2,12,1,0,2,0,31,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\FullLocationPatternConverter.java,org.apache.logging.log4j.core.layout.pattern.FullLocationPatternConverter,class,5,6,1,5,4,3,0,3,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,15,1,0,1,0,0,6,0,2,0,2,1,0,0,0,38,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\BaseConfiguration.java,org.apache.logging.log4j.core.config.BaseConfiguration$LoggersPlugin,innerclass,5,5,0,5,6,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,2,0,0,3,0,4,0,3,4,0,0,0,14,9,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\Logger.java,org.apache.logging.log4j.Logger,interface,3,34,31,3,73,1,0,2,2628,1.0,0.0,0.0,73,0,0,0,0,73,73,0,0,0,6,6,0,0,0,6,0,0,6,81,0,0,0,0,0,6,0,6,0,6,0,0,0,0,105,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\appender\AppenderRuntimeException.java,org.apache.logging.log4j.core.appender.AppenderRuntimeException,class,0,2,2,0,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
