file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\org\jfree\fx\FXGraphics2D.java,org.jfree.fx.FXGraphics2D,class,15,17,2,15,164,3,0,196,3278,0.95,0.07824562,0.2617544,88,2,76,12,0,0,76,0,0,0,20,0,0,19,0,1,4,0,15,709,52,6,29,1,1,12,56,137,22,116,3,0,0,0,525,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\XYZBarChart3DFXDemo1.java,com.orsoncharts.demo.fx.XYZBarChart3DFXDemo1,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,36,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\AreaChart3DFXDemo1.java,com.orsoncharts.demo.fx.AreaChart3DFXDemo1,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,36,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\AreaChart3DFXDemo2.java,com.orsoncharts.demo.fx.AreaChart3DFXDemo2,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,36,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\LineChart3DFXDemo1.java,com.orsoncharts.demo.fx.LineChart3DFXDemo1,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,35,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\LineChart3DFXDemo2.java,com.orsoncharts.demo.fx.LineChart3DFXDemo2,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,35,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\BarChart3D1.java,com.orsoncharts.demo.BarChart3D1,class,5,6,1,5,2,1,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,65,2,0,0,0,0,51,47,7,0,7,0,0,0,0,54,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\BarChart3DFXDemo1.java,com.orsoncharts.demo.fx.BarChart3DFXDemo1,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,36,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\fx\BarChart3DFXDemo2.java,com.orsoncharts.demo.fx.BarChart3DFXDemo2,class,10,11,1,10,3,2,0,9,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,1,2,5,0,5,0,0,0,0,36,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\com\orsoncharts\demo\BarChart3D2.java,com.orsoncharts.demo.BarChart3D2,class,8,9,1,8,2,1,0,16,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92,2,0,0,0,0,69,74,11,1,11,0,0,0,0,64,1,0
